Fighter 0 Round 1 KD,Fighter 1 Round 1 KD,Fighter 0 Round 1 Sig. str.,Fighter 1 Round 1 Sig. str.,Fighter 0 Round 1 Sig. str. %,Fighter 1 Round 1 Sig. str. %,Fighter 0 Round 1 Total str.,Fighter 1 Round 1 Total str.,Fighter 0 Round 1 Td,Fighter 1 Round 1 Td,Fighter 0 Round 1 Td %,Fighter 1 Round 1 Td %,Fighter 0 Round 1 Sub. att,Fighter 1 Round 1 Sub. att,Fighter 0 Round 1 Rev.,Fighter 1 Round 1 Rev.,Fighter 0 Round 1 Ctrl,Fighter 1 Round 1 Ctrl,Fighter 0 Name,Fighter 1 Name,Fighter 0 Round 2 KD,Fighter 1 Round 2 KD,Fighter 0 Round 2 Sig. str.,Fighter 1 Round 2 Sig. str.,Fighter 0 Round 2 Sig. str. %,Fighter 1 Round 2 Sig. str. %,Fighter 0 Round 2 Total str.,Fighter 1 Round 2 Total str.,Fighter 0 Round 2 Td,Fighter 1 Round 2 Td,Fighter 0 Round 2 Td %,Fighter 1 Round 2 Td %,Fighter 0 Round 2 Sub. att,Fighter 1 Round 2 Sub. att,Fighter 0 Round 2 Rev.,Fighter 1 Round 2 Rev.,Fighter 0 Round 2 Ctrl,Fighter 1 Round 2 Ctrl,Fighter 0 Round 3 KD,Fighter 1 Round 3 KD,Fighter 0 Round 3 Sig. str.,Fighter 1 Round 3 Sig. str.,Fighter 0 Round 3 Sig. str. %,Fighter 1 Round 3 Sig. str. %,Fighter 0 Round 3 Total str.,Fighter 1 Round 3 Total str.,Fighter 0 Round 3 Td,Fighter 1 Round 3 Td,Fighter 0 Round 3 Td %,Fighter 1 Round 3 Td %,Fighter 0 Round 3 Sub. att,Fighter 1 Round 3 Sub. att,Fighter 0 Round 3 Rev.,Fighter 1 Round 3 Rev.,Fighter 0 Round 3 Ctrl,Fighter 1 Round 3 Ctrl,Fighter 0 Round 4 KD,Fighter 1 Round 4 KD,Fighter 0 Round 4 Sig. str.,Fighter 1 Round 4 Sig. str.,Fighter 0 Round 4 Sig. str. %,Fighter 1 Round 4 Sig. str. %,Fighter 0 Round 4 Total str.,Fighter 1 Round 4 Total str.,Fighter 0 Round 4 Td,Fighter 1 Round 4 Td,Fighter 0 Round 4 Td %,Fighter 1 Round 4 Td %,Fighter 0 Round 4 Sub. att,Fighter 1 Round 4 Sub. att,Fighter 0 Round 4 Rev.,Fighter 1 Round 4 Rev.,Fighter 0 Round 4 Ctrl,Fighter 1 Round 4 Ctrl,Fighter 0 Round 5 KD,Fighter 1 Round 5 KD,Fighter 0 Round 5 Sig. str.,Fighter 1 Round 5 Sig. str.,Fighter 0 Round 5 Sig. str. %,Fighter 1 Round 5 Sig. str. %,Fighter 0 Round 5 Total str.,Fighter 1 Round 5 Total str.,Fighter 0 Round 5 Td,Fighter 1 Round 5 Td,Fighter 0 Round 5 Td %,Fighter 1 Round 5 Td %,Fighter 0 Round 5 Sub. att,Fighter 1 Round 5 Sub. att,Fighter 0 Round 5 Rev.,Fighter 1 Round 5 Rev.,Fighter 0 Round 5 Ctrl,Fighter 1 Round 5 Ctrl,Fighter 0 Round 1 Sig. str,Fighter 1 Round 1 Sig. str,Fighter 0 Round 1 Head,Fighter 1 Round 1 Head,Fighter 0 Round 1 Body,Fighter 1 Round 1 Body,Fighter 0 Round 1 Leg,Fighter 1 Round 1 Leg,Fighter 0 Round 1 Distance,Fighter 1 Round 1 Distance,Fighter 0 Round 1 Clinch,Fighter 1 Round 1 Clinch,Fighter 0 Round 1 Ground,Fighter 1 Round 1 Ground,Fighter 0 Round 2 Sig. str,Fighter 1 Round 2 Sig. str,Fighter 0 Round 2 Head,Fighter 1 Round 2 Head,Fighter 0 Round 2 Body,Fighter 1 Round 2 Body,Fighter 0 Round 2 Leg,Fighter 1 Round 2 Leg,Fighter 0 Round 2 Distance,Fighter 1 Round 2 Distance,Fighter 0 Round 2 Clinch,Fighter 1 Round 2 Clinch,Fighter 0 Round 2 Ground,Fighter 1 Round 2 Ground,Fighter 0 Round 3 Sig. str,Fighter 1 Round 3 Sig. str,Fighter 0 Round 3 Head,Fighter 1 Round 3 Head,Fighter 0 Round 3 Body,Fighter 1 Round 3 Body,Fighter 0 Round 3 Leg,Fighter 1 Round 3 Leg,Fighter 0 Round 3 Distance,Fighter 1 Round 3 Distance,Fighter 0 Round 3 Clinch,Fighter 1 Round 3 Clinch,Fighter 0 Round 3 Ground,Fighter 1 Round 3 Ground,Fighter 0 Round 4 Sig. str,Fighter 1 Round 4 Sig. str,Fighter 0 Round 4 Head,Fighter 1 Round 4 Head,Fighter 0 Round 4 Body,Fighter 1 Round 4 Body,Fighter 0 Round 4 Leg,Fighter 1 Round 4 Leg,Fighter 0 Round 4 Distance,Fighter 1 Round 4 Distance,Fighter 0 Round 4 Clinch,Fighter 1 Round 4 Clinch,Fighter 0 Round 4 Ground,Fighter 1 Round 4 Ground,Fighter 0 Round 5 Sig. str,Fighter 1 Round 5 Sig. str,Fighter 0 Round 5 Head,Fighter 1 Round 5 Head,Fighter 0 Round 5 Body,Fighter 1 Round 5 Body,Fighter 0 Round 5 Leg,Fighter 1 Round 5 Leg,Fighter 0 Round 5 Distance,Fighter 1 Round 5 Distance,Fighter 0 Round 5 Clinch,Fighter 1 Round 5 Clinch,Fighter 0 Round 5 Ground,Fighter 1 Round 5 Ground,Winner,Method
0,0,9,16,37.0,37.0,24,36,1,0,50.0,,0,0,0,0,179.0,1.0,Marvin Vettori,Kevin Holland,0.0,0.0,8.0,7.0,47.0,70.0,49.0,17.0,2.0,0.0,66.0,,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,6.0,8.0,37.0,34.0,10.0,25.0,3.0,0.0,75.0,,1.0,0.0,0.0,0.0,218.0,2.0,0.0,0.0,1.0,4.0,20.0,25.0,29.0,19.0,2.0,0.0,50.0,,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,40.0,41.0,3.0,0.0,75.0,,0.0,0.0,0.0,0.0,271.0,0.0,9,16,8,5,1,3,0,8,5,13,2,3,2,0,8.0,7.0,8.0,6.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,5.0,0.0,6.0,8.0,5.0,8.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,U-DEC
1,0,10,13,35.0,43.0,11,19,2,0,100.0,,0,1,0,0,157.0,9.0,Arnold Allen,Sodiq Yusuff,0.0,0.0,9.0,18.0,33.0,33.0,13.0,29.0,0.0,0.0,,,0.0,0.0,0.0,0.0,61.0,5.0,0.0,0.0,2.0,16.0,33.0,53.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,8,3,2,5,0,5,8,10,1,3,1,0,9.0,18.0,6.0,10.0,3.0,4.0,0.0,4.0,8.0,16.0,1.0,2.0,0.0,0.0,2.0,16.0,1.0,11.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,U-DEC
0,0,24,27,44.0,51.0,24,28,0,0,,,0,0,0,0,0.0,0.0,Sam Alvey,Julian Marquez,0.0,1.0,5.0,34.0,20.0,70.0,5.0,34.0,0.0,0.0,,,0.0,1.0,0.0,0.0,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,27,16,19,4,8,4,0,23,26,1,1,0,0,5.0,34.0,5.0,27.0,0.0,7.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SUB  Rear Naked Choke
0,0,4,12,57.0,54.0,5,31,0,1,,50.0,0,1,0,0,0.0,240.0,Nina Nunes,Mackenzie Dern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,2,10,1,0,1,2,4,8,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SUB  Armbar
0,0,21,33,50.0,52.0,25,36,1,0,100.0,,0,0,0,0,86.0,0.0,Mike Perry,Daniel Rodriguez,0.0,0.0,16.0,43.0,38.0,53.0,16.0,47.0,1.0,0.0,50.0,,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,24.0,53.0,50.0,58.0,24.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,33,5,22,3,2,13,9,21,33,0,0,0,0,16.0,43.0,9.0,30.0,5.0,4.0,2.0,9.0,15.0,43.0,1.0,0.0,0.0,0.0,24.0,53.0,13.0,38.0,6.0,5.0,5.0,10.0,24.0,53.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U-DEC
0,0,9,16,32.0,44.0,20,17,0,0,,0.0,0,0,0,0,123.0,9.0,Jim Miller,Joe Solecki,0.0,0.0,2.0,2.0,40.0,66.0,18.0,41.0,0.0,1.0,,50.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,1.0,0.0,33.0,7.0,35.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,6,10,1,2,2,4,8,15,1,1,0,0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U-DEC
0,0,8,26,24.0,65.0,8,28,0,1,0.0,33.0,0,0,0,0,0.0,37.0,Scott Holtzman,Mateusz Gamrot,0.0,1.0,2.0,13.0,13.0,56.0,2.0,13.0,0.0,1.0,,50.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,26,4,10,1,6,3,10,8,22,0,4,0,0,2.0,13.0,1.0,7.0,1.0,2.0,0.0,4.0,2.0,8.0,0.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,KO/TKO  Punches
0,0,36,37,53.0,43.0,52,40,0,0,,0.0,0,0,0,0,13.0,36.0,John Makdessi,Ignacio Bahamondes,0.0,0.0,43.0,35.0,51.0,32.0,47.0,37.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,45.0,40.0,54.0,33.0,46.0,40.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,24,22,7,9,5,6,24,31,12,6,0,0,43.0,35.0,24.0,26.0,14.0,4.0,5.0,5.0,43.0,34.0,0.0,1.0,0.0,0.0,45.0,40.0,24.0,27.0,12.0,9.0,9.0,4.0,42.0,34.0,3.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,S-DEC
0,1,2,10,18.0,83.0,5,10,0,0,,0.0,0,0,0,0,8.0,40.0,Yorgan De Castro,Jarjis Danho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,3,0,1,0,6,2,8,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,KO/TKO  Punch
0,0,14,11,51.0,64.0,20,15,0,2,0.0,40.0,0,0,1,0,61.0,110.0,Hunter Azure,Jack Shore,0.0,0.0,23.0,14.0,62.0,60.0,41.0,22.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,0.0,114.0,68.0,0.0,0.0,8.0,11.0,50.0,64.0,17.0,20.0,0.0,3.0,0.0,50.0,0.0,0.0,0.0,1.0,67.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,2,6,5,1,7,4,12,8,1,1,1,2,23.0,14.0,7.0,9.0,7.0,3.0,9.0,2.0,18.0,11.0,3.0,3.0,2.0,0.0,8.0,11.0,3.0,9.0,2.0,0.0,3.0,2.0,5.0,8.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S-DEC
